"","date","text","month"
"32","2020-03-29","#CoronaVirus का कहर थमने का नाम नहीं ले रहा है। ताजा मामला #Spain से है। यहां शाही परिवार की राजकुमारी #MariaTeresa की कोरोना वायरस से मौत हो गई।  #COVID19. #CoronaVirus #CoronavirusPandemic
 https://t.co/ipus96xiV8","March"
"33","2020-03-29","There are many soldiers who are fighting #Coronavirus, not in the confines of their homes but outside their homes. These are our front line soldiers-especially our brothers and sisters on duty as nurses, doctors &amp; paramedical staff: PM @narendramodi #PMonAIR । #IndiaFightsCorona https://t.co/7d244D9MB5","March"
"34","2020-03-29","@PresidenciaRD @DaniloMedina Los ministerios que no estén en funcionamiento se le debe sólo darle la nómina de los empleados y el demás presupuesto pasarlo a @SaludPublicaRD 
@DiputadosRD @senadorepdom 
@Gonzalo2020RD @GMontalvoFranco @RodrigMarchena 
#CoronavirusenRD #Covid_19","March"
"35","2020-03-29","I'm more petrified by the bombardment of WhatsApp forwards then #coronavirus.","March"
"36","2020-03-29","🖋 Support Maeghan by signing “Why You Must Act Now” and I’ll deliver a copy to your officials too: https://t.co/oznS17Am8r

📨 Last delivered to @GovJanetMills, Representative Brennan and Senator Sanborn  #MEpolitics #COVID19 https://t.co/1hz18NLTUz","March"
"37","2020-03-29","Anuncia @HLGatell que México entro en la etapa de aumentos exponenciales en los contagios de #COVID19
- Cuarentena voluntaria debe durar un mes más, explica en su discurso.
- Aumenta a 16 el número de fallecidos https://t.co/XFswaNDKyT","March"
"38","2020-03-29","Gavo me presan kisan log #Covid_19 #AajtakAntakshari #bharatsarkar https://t.co/xu61IZE8SA","March"
"39","2020-03-29","En doet ons gaan in tranen, maar ongebroken door de nacht van de schepping. En houdt ons gaande naar een nieuwe geboorte....#coronavirus","March"
"40","2020-03-29","Today, I am in the phase of ANGER among the grief stages of this pandemic as a medical resident in the frontline who ran rapid response alongside all other team members on a patient who ended up intubated, just with our surgical masks on #Covid_19 #medtwitter","March"
"41","2020-03-29","C'est malheureux d'en venir à se dire qu'il faut des ex. Patrick Devedjian ou entourages de ces élites touchés par le #coronavirus pour qu'ils comprennent enfin et prennent conscience réellement des problèmes que rencontrent ce petit peuple méprisant sans dents que nous sommes.","March"
"42","2020-03-29","GOING TO PRAY THE #CORONAVIRUS AWAY, LIKE A MIRACLE.
Trump’s “spiritual adviser” Paula White expelling coronavirus from his cult following. Mike Pence is late for the conversion therapy. https://t.co/PtS7CdvKtw
#VoteBlueNoMatterWho","March"
"43","2020-03-29","The curfew will be imposed in Colombo,Gampaha,Kalutara, Puttalam,Kandy and Jaffna districts until further notice -PMD
#lka #corona #covid19 https://t.co/ka8xfqjV3H","March"
"44","2020-03-29","Estatus actual de mi cuarentena: Acabo de cambiar mis puntos para volar de Aeromexico por productos para mejorar mi home office. #Covid19 #QuedateEnCasa","March"
"45","2020-03-29","#COVID19 Positive patient escapes frm CD hospital #Srinagar, lateron traced by @KashmirPolice &amp; has been re-admitted at #SKIMS hospital #Srinagar at the distance of around 10km's.Risking lives of many including Cops, hospital administration need to b more alert &amp; active.","March"
"46","2020-03-29","a confirmed case on a particular day does not mean that the person got infected that day #covid19","March"
"47","2020-03-29","#Pakistani Twitter

Any nurses in the house? 

Can someone help me honor and say thank you to a nurse or other health professional fighting the frontlines alongside doctors?

#CoronavirusOutbreak","March"
"48","2020-03-29","The South Coast Botanic Garden was open yesterday, but parts of it were closed to the public.  #SCBG Palos Verdes #flickr https://t.co/3z0vXVhL27  #BotanicGarden  @SCBotanicGarden   #COVID19","March"
"49","2020-03-29","முதலமைச்சர் நிவாரண நிதி எல்லாம் இருக்கிறது. எப்போது வேண்டுமானாலும் விருப்பம் உள்ளவர் அதில் நன்கொடை தரலாம். விருப்பம் இல்லாவிட்டால் கண்டுக்காமல் விட்டு விட்டுக் கடந்து போய் விடலாம். அதை விடுத்து அதில் அரசியலை எப்படியாவது புகுத்துவது என்பது 
தேவையில்லாத வேலை....

2/6

#Covid_19 https://t.co/PWCmu4YoV5","March"
"50","2020-03-29","Desde hoy apoyo el #teletrabajo de #piñera..... Se puede tomar una copita en la pega..... Como la @jvanbiobio.......
#Covid_19 #ChileDesperto #CuarentenaCoronavirus #","March"
"51","2020-03-29","Words to #see by... A very somber yet highly informative Coronavirus Update from Gov. #Pritzker in Illinois... My deepest condolences to everyone who has lost a loved one to this illness 🕊 #Covid_19  ❤️#PleaseStayAtHome ❤️ https://t.co/ZLZhODRxr1","March"
"52","2020-03-29","Momin Saqib has a solution on how to combat with #Covid_19. Must Watch!
👇

https://t.co/6Qjy3g8IWj 👈

#CoronaUpdate #Rawalpindi #Riyadh #CoronaFreePakistan #CoronaInPakistan #Quarantine #QuarantineAndChill #Mominsaqib #thenewpew #India #SundayMotivation #StayAtHomeAndStaySafe","March"
"53","2020-03-29","@uw @UWVirology is projecting 80k #covid19 deaths for the US by mid summer considering all efforts. Does this sound about right to you? This sounds better than other have suggested @DrEricDing @phylogenomics @symbiomics  https://t.co/ukXYErKGLV https://t.co/mH9PsMlXWR","March"
